,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
46,Tasiilaq,GL,17.49,65.61,-37.64,100,56,16.6
47,Sao Felix do Xingu,BR,77.52,-6.64,-51.99,89,32,2.28
48,Awbari,LY,53.22,26.59,12.77,34,0,7.99
49,Uray,RU,35.35,60.13,64.8,88,56,13.24
50,Harrisonville,US,33.98,38.65,-94.35,47,1,9.17
51,Darhan,MN,20.19,49.49,105.92,66,20,5.41
52,Hobart,AU,44.62,-42.88,147.33,66,20,9.17
53,Port Macquarie,AU,68.99,-31.43,152.91,88,90,6.93
54,Chuy,UY,85.48,-33.69,-53.46,67,0,11.79
55,Quatre Cocos,MU,77.47,-20.21,57.76,83,20,4.7
56,Butaritari,KI,79.72,3.07,172.79,100,48,7.54
57,Piacabucu,BR,81.3,-10.41,-36.43,68,12,10
58,Thompson,CA,8.6,55.74,-97.86,50,5,12.75
59,Isangel,VU,81.97,-19.55,169.27,99,80,11.45
60,Bilibino,RU,-1.1,68.06,166.44,75,80,2.39
61,At-Bashi,KG,-0.61,41.17,75.81,82,0,2.17
62,Vaini,IN,54.84,15.34,74.49,83,0,1.95
63,Lompoc,US,59.41,34.64,-120.46,77,75,10.29
64,Jamestown,AU,42.55,-33.21,138.6,85,0,6.87
65,Beberibe,BR,78.93,-4.18,-38.13,83,75,5.82
66,Dingle,PH,74.64,11,122.67,88,12,12.12
67,Kedrovyy,RU,15.8,56.17,91.82,72,0,2.24
68,Touros,BR,82.4,-5.2,-35.46,78,75,9.17
69,East London,ZA,79.72,-33.02,27.91,90,24,18.16
70,Madras,US,23.92,44.63,-121.13,85,75,3.18
71,Siirt,TR,32.25,37.93,41.94,86,80,1.95
72,Saldanha,PT,42.64,41.42,-6.55,88,76,13.02
73,Chokurdakh,RU,-16.36,70.62,147.9,47,0,10.45
74,Castro,CL,62.6,-42.48,-73.76,88,90,16.11
75,Sioux Lookout,CA,6.8,50.1,-91.92,55,90,13.87
76,Moranbah,AU,70.77,-22,148.04,93,8,3.4
77,Punta Arenas,CL,45.66,-53.16,-70.91,70,75,14.99
78,Rawson,AR,85.03,-43.3,-65.11,23,92,29.01
79,Tuktoyaktuk,CA,6.8,69.44,-133.03,77,75,4.7
80,Upernavik,GL,5.29,72.79,-56.15,100,0,17.94
81,Manzhouli,CN,7.05,49.6,117.43,57,0,2.95
82,Puerto Escondido,MX,84.2,15.86,-97.07,70,5,11.41
83,Nikolskoye,RU,19.17,59.7,30.79,48,0,4.47
84,Jalu,LY,54.3,29.03,21.55,60,0,7.43
85,Ushuaia,AR,46.18,-54.81,-68.31,70,75,26.4
86,Cockburn Town,TC,79.14,21.46,-71.14,99,8,6.42
87,Longyearbyen,NO,6.8,78.22,15.63,65,20,11.41
88,Manhay,BE,48.4,50.29,5.68,93,92,5.82
89,Dudinka,RU,-2.14,69.41,86.18,70,0,17.49
90,Carnarvon,ZA,76.93,-30.97,22.13,19,12,6.31
91,Gandajika,CD,70.95,-6.75,23.95,100,56,5.86
92,Alepe,CI,84.2,5.5,-3.66,89,20,8.05
93,Narsaq,GL,35.6,60.91,-46.05,31,75,34.45
94,Provideniya,RU,19.42,64.42,-173.23,100,64,8.66
95,Myitkyina,MM,59.7,25.38,97.4,99,88,2.51
96,Gueret,FR,51.51,46.17,1.87,93,92,8.05
97,Vestmannaeyjar,IS,29.64,63.44,-20.27,100,0,15.82
98,Port Elizabeth,US,27.28,39.31,-74.98,36,40,17.22
99,Santa Cruz de la Palma,ES,60.91,28.68,-17.76,68,40,19.46
100,Cam Ranh,VN,77,11.92,109.15,94,0,1.12
101,Puerto Carreno,CO,96.8,6.19,-67.49,39,40,2.95
102,Necochea,AR,85.3,-38.55,-58.74,50,0,8.99
103,Pevek,RU,0.07,69.7,170.27,96,80,2.73
104,Sao Filipe,CV,71.08,14.9,-24.5,95,0,20.07
105,Kuusamo,FI,15.8,65.96,29.19,78,0,6.93
106,Mitu,IR,19.42,36.2,46.09,76,0,2.17
107,Leningradskiy,RU,7.5,69.38,178.42,91,48,10.45
108,Hami,CN,30.22,42.84,93.51,74,24,3.96
109,Karasjok,NO,12.2,69.47,25.52,78,0,20.8
110,Tautira,PF,87.35,-17.73,-149.15,66,20,11.41
111,Kholodnyy,RU,-27.61,62.72,147.95,38,0,2.73
112,Ixtapa,MX,80.33,20.71,-105.21,47,40,6.93
113,Opuwo,NA,73.6,-18.06,13.84,37,8,6.08
114,Sao Joao da Barra,BR,86,-21.64,-41.05,62,0,16.11
115,Hatillo,PR,80.58,18.49,-66.83,93,75,9.17
116,Kefamenanu,ID,70.59,-9.45,124.48,95,64,1.16
117,Kuytun,RU,25.99,54.34,101.51,89,92,5.75
118,Oxbow,CA,4.14,49.23,-102.17,77,1,5.82
119,Panama City,US,53.65,30.16,-85.65,30,1,6.93
120,Port Alfred,ZA,73.99,-33.59,26.89,76,0,10
121,Hermanus,ZA,64.99,-34.42,19.24,91,0,3.18
122,Aripuana,BR,86.2,-9.17,-60.63,69,44,2.39
123,Grand Gaube,MU,77.63,-20.01,57.66,83,20,4.7
124,Coquimbo,CL,68,-29.95,-71.34,68,20,14.99
125,Luderitz,NA,61.09,-26.65,15.16,91,8,11.68
126,Dikson,RU,-1.28,73.51,80.55,100,32,21.18
127,Qaanaaq,GL,-1.73,77.48,-69.36,89,56,3.74
128,Imbituba,BR,82.4,-28.24,-48.67,74,20,8.05
129,Saint-Augustin,FR,51.93,44.83,-0.61,81,80,13.87
130,Wellington,NZ,64.62,-41.29,174.78,72,0,24.16
131,Quelimane,MZ,82.4,-17.88,36.89,88,75,12.75
132,Falam,MM,49.89,22.91,93.68,99,24,1.39
133,Laguna,MX,78.8,27.52,-110.01,39,75,2.24
134,Manasa,IN,57.85,24.48,75.27,59,0,2.84
135,Esperance,TT,86.02,10.24,-61.45,55,40,14.99
136,Codrington,AU,71.73,-28.95,153.24,94,40,4.41
137,Geraldton,CA,10.4,49.72,-86.95,46,90,14.99
138,Yuzhno-Kurilsk,RU,25.36,44.03,145.86,100,0,15.93
139,Hilo,US,67.93,19.71,-155.08,73,75,15.93
140,Tateyama,JP,46.2,36.66,137.31,91,92,2.73
141,San Patricio,PY,85.3,-26.98,-56.83,66,48,2.95
142,Pangnirtung,CA,-13.01,66.15,-65.72,83,5,4.7
143,Fayaoue,NC,80.71,-20.65,166.53,96,44,12.8
144,Dicabisagan,PH,69.82,17.08,122.42,100,36,2.62
145,Sawankhalok,TH,80.01,17.31,99.83,52,0,2.39
146,Sarai,IN,68,25.78,85.28,45,0,5.82
147,Barra Patuca,HN,82.65,15.8,-84.28,78,0,15.48
148,Georgetown,GY,86.14,6.8,-58.16,74,20,13.87
149,Outjo,NA,79.95,-20.11,16.16,33,0,11.68
150,College,US,21.2,64.86,-147.8,67,90,4.07
151,Ribeira Grande,PT,60.8,38.52,-28.7,93,75,21.92
152,Sitka,US,54,37.17,-99.65,34,0,18.01
153,Mahebourg,MU,77.29,-20.41,57.7,83,20,4.7
154,Alice Springs,AU,69.8,-23.7,133.88,40,0,8.05
155,Nyurba,RU,17.49,63.29,118.35,67,0,8.55
156,Dogondoutchi,NE,76.8,13.64,4.03,61,0,2.62
157,Victoria,BN,79.5,5.28,115.24,94,75,7.54
158,Noumea,NC,69.8,-22.28,166.46,94,0,4.97
159,Raahe,FI,20.71,64.68,24.47,85,0,12.75
160,Poum,MK,27.61,41.28,20.71,82,0,1.83
161,Marsaxlokk,MT,57.42,35.84,14.54,100,20,8.05
162,Barrow,AR,86.97,-38.31,-60.23,44,20,20.07
163,Jizan,SA,82.4,16.89,42.56,54,40,10.29
164,Saint-Joseph,FR,53.49,43.56,6.97,76,90,3.36
165,Souillac,FR,50.67,45.6,-0.6,93,48,11.41
166,Torrijos,ES,47.68,39.98,-4.28,75,20,18.34
167,Sahuaripa,MX,78.6,29.05,-109.23,34,20,2.62
168,Bagacay,PH,78.15,12.98,124.14,100,76,9.78
169,Tiksi,RU,4.39,71.64,128.87,68,88,3.06
170,Fortuna,ES,61.09,38.18,-1.13,67,0,5.82
171,Kot Addu,PK,66.2,30.47,70.97,59,0,13.13
172,Cilegon,ID,75.09,-6.02,106.05,88,75,3.36
173,Khatanga,RU,-7.31,71.98,102.47,60,8,11.9
174,Saint George,GR,50,39.45,22.34,61,20,5.82
175,Cartagena,ES,66.2,37.63,-1,55,0,18.34
176,Bilecik,TR,46.49,40.14,29.98,87,75,16.11
177,Ahipara,NZ,62.01,-35.17,173.16,100,24,7.43
178,Tanah Merah,MY,73.4,5.81,102.15,94,75,2.17
179,Erdenet,MN,14.79,49.03,104.04,56,32,1.83
180,Ilhabela,BR,82.47,-23.78,-45.36,97,24,12.91
181,La Rioja,AR,83.32,-29.41,-66.86,62,0,3.96
182,Iqaluit,CA,-13.01,63.75,-68.52,69,40,19.46
183,New Norfolk,AU,44.6,-42.78,147.06,66,20,8.05
184,Paka,HR,48.2,45.29,18.06,57,0,9.17
185,Santa Maria,BR,78.8,-29.69,-53.81,74,75,14.99
186,Nioro,GM,80.44,13.79,-15.05,21,0,9.66
187,Camopi,GF,79.45,3.17,-52.33,79,92,3.4
188,Llanes,ES,52.47,43.42,-4.75,81,92,8.88
189,Iwanai,JP,29.41,42.97,140.51,100,0,10.67
190,Arrifes,PT,56.82,37.77,-25.7,93,75,23.04
191,Walvis Bay,NA,68.68,-22.95,14.51,77,0,12.75
192,Moose Factory,CA,5,51.26,-80.61,54,90,8.05
193,Samarai,PG,80.8,-10.62,150.67,100,76,3.18
194,Boromo,BF,74.55,11.74,-2.93,30,0,5.64
195,Cidreira,BR,80.98,-30.17,-50.22,78,56,11.23
196,Aasiaat,GL,13.84,68.71,-52.87,95,0,11.45
197,Cayenne,GF,84.2,4.94,-52.33,66,40,14.99
198,Bonavista,CA,23,48.65,-53.11,90,92,5.53
199,Carutapera,BR,78.91,-1.2,-46.02,93,80,4.63
200,Pachino,IT,49.5,36.72,15.09,76,0,4.7
201,The Pas,CA,10.4,53.82,-101.24,51,1,9.17
202,Bambous Virieux,MU,77.36,-20.34,57.76,83,20,4.7
203,Port Lincoln,AU,54.97,-34.72,135.86,100,12,5.75
204,Brae,GB,42.8,60.4,-1.35,87,92,14.99
205,Sonoita,US,81.36,31.68,-110.66,10,1,14.99
206,Mahibadhoo,MV,82.42,3.78,72.97,100,100,7.43
207,Broken Hill,AU,53.6,-31.97,141.45,55,0,10.29
208,Pital,CO,68.11,2.27,-75.81,96,68,2.73
209,Palmer,US,27.14,61.6,-149.11,79,90,2.73
210,Omboue,GA,83.64,-1.57,9.26,100,32,3.18
211,Mitsamiouli,KM,80.6,-11.38,43.28,83,20,3.36
212,Simao,CN,58.03,22.76,100.79,97,100,2.17
213,Qaqortoq,GL,35.6,60.72,-46.03,31,75,34.45
214,Torbay,CA,23.31,47.66,-52.73,92,90,3.36
215,Yeppoon,AU,75.2,-23.13,150.74,88,75,4.7
216,Tabas,IR,37.29,33.6,56.92,72,88,2.95
217,Aklavik,CA,7.88,68.22,-135.01,77,40,3.36
218,Ancud,CL,62.6,-41.87,-73.83,88,90,16.11
219,Yar-Sale,RU,16.18,66.83,70.83,85,76,18.05
220,Tarauaca,BR,79.27,-8.16,-70.77,91,36,2.39
221,Sonari,IN,56.77,27.03,95.02,97,56,2.62
222,Kodinsk,RU,13.12,58.6,99.18,86,44,2.39
223,Razole,IN,82.2,16.48,81.84,97,0,12.91
224,Rome,IT,52.27,41.89,12.48,71,0,9.17
225,Sur,OM,70.36,22.57,59.53,100,36,14.03
226,Katsuura,JP,49.44,33.93,134.5,87,75,12.75
227,Medvezhyegorsk,RU,17.53,62.92,34.47,71,68,10.22
228,Clyde River,CA,-5.81,70.47,-68.59,76,75,6.93
229,Lebu,ET,45.52,8.96,38.73,87,8,2.39
230,Indianola,US,28.85,40.24,-100.42,63,90,6.93
231,Sola,NO,40.82,58.89,5.65,70,75,19.46
232,Morlaix,FR,47.79,48.58,-3.83,93,90,9.17
233,Sao Miguel do Guama,BR,78.01,-1.63,-47.48,91,56,4.41
234,Lagoa,PT,54.43,37.14,-8.45,67,40,13.87
235,Saint Anthony,US,39.52,43.97,-111.68,80,75,3.36
236,Nantucket,US,25.56,41.28,-70.1,32,40,18.34
237,Pacific Grove,US,54.01,36.62,-121.92,82,90,14.99
238,Aligudarz,IR,26.22,33.4,49.69,94,76,2.39
239,Vardo,US,26.42,39.62,-77.74,30,90,11.41
240,Xixiang,CN,64.62,22.58,113.87,93,40,9.17
241,Kipini,KE,80.71,-2.53,40.53,94,0,15.82
242,Butwal,NP,52.72,27.7,83.45,71,0,3.85
243,Gornopravdinsk,RU,31.17,60.06,69.92,86,92,12.46
244,Buchanan,LR,84.2,5.88,-10.05,79,20,8.05
245,Avera,US,50.97,33.19,-82.53,20,1,6.93
246,Scottsbluff,US,31.55,41.87,-103.67,69,40,8.05
247,Cap-aux-Meules,CA,17.6,47.38,-61.86,67,40,11.41
248,Tiarei,PF,87.35,-17.53,-149.33,66,20,11.41
249,Belyy Yar,RU,19.4,53.6,91.39,73,0,4.47
250,Verkhnevilyuysk,RU,17.44,63.45,120.31,67,0,9.89
251,Ust-Koksa,RU,8.67,50.27,85.62,88,0,1.39
252,Palauig,PH,72.25,15.44,119.9,100,0,4.41
253,Imeni Poliny Osipenko,RU,8.89,52.42,136.49,63,56,3.62
254,Terrak,NO,26.85,65.09,12.37,63,40,9.17
255,Aracati,BR,78.46,-4.56,-37.77,88,56,6.64
256,Sabang,PH,72.7,13.72,123.58,99,56,3.4
257,Buraydah,SA,59,26.33,43.97,58,0,3.36
258,Avarua,CK,80.6,-21.21,-159.78,69,80,13.87
259,Utinga,BR,83.32,-5.82,-35.4,78,75,9.17
260,Smirnykh,RU,-7.49,49.74,142.83,59,0,3.51
261,Nova Olimpia,BR,89.35,-14.8,-57.29,63,36,6.53
262,Borovoy,RU,13.3,63.23,52.89,78,68,12.24
263,Wokha,IN,54.25,26.1,94.25,88,32,1.61
264,Jumla,NP,6.15,29.28,82.18,80,0,0.94
265,Ust-Nera,RU,-42.91,64.57,143.24,0,8,1.5
266,Maragogi,BR,77.7,-9.01,-35.22,96,92,8.1
267,Haines Junction,CA,3.54,60.75,-137.51,79,12,2.17
268,Portel,PT,50,38.31,-7.71,87,40,5.82
269,Teseney,ER,68.56,15.11,36.66,25,0,8.99
270,Hamilton,CA,16.27,43.26,-79.87,47,40,16.11
271,Constitucion,MX,75.74,23.99,-104.67,18,75,9.33
272,Komsomolskiy,RU,5.34,67.55,63.78,72,88,4.07
273,Valparaiso,US,27.91,41.47,-87.06,53,75,16.11
274,Srbac,BA,52.65,45.1,17.52,53,0,4.7
275,Sawtell,AU,72.41,-30.38,153.1,78,75,16.11
276,Hovd,NO,21.79,63.83,10.7,67,0,11.41
277,Yumen,CN,28.74,40.29,97.04,55,56,8.66
278,Anshun,CN,42.28,26.25,105.93,98,92,6.42
279,Karratha,AU,78.19,-20.74,116.85,79,8,4.97
280,Zhigansk,RU,19.51,66.77,123.37,79,88,11.68
281,Yarovoye,RU,17.26,52.92,78.56,88,80,10.22
282,Nelson Bay,AU,68.74,-32.72,152.14,60,90,13.87
283,Cabo San Lucas,MX,78.46,22.89,-109.91,44,75,9.17
284,Coventry,GB,48.9,52.41,-1.51,93,75,9.17
285,Cedar City,US,41.07,37.68,-113.06,93,90,10.29
286,Shaunavon,CA,7.81,49.65,-108.41,87,24,10.45
287,Plettenberg Bay,ZA,70.27,-34.05,23.37,96,32,16.49
288,Baoqing,CN,12.22,46.32,132.2,72,0,4.97
289,Kumluca,TR,26.26,36.37,30.29,83,0,1.61
290,Rosarito,CO,80.83,4.91,-75.23,56,40,10.29
291,Lavrentiya,RU,15.37,65.58,-170.99,100,64,4.97
292,Ngaoundere,CM,67.89,7.32,13.58,39,8,5.75
293,Nyuksenitsa,RU,5.38,60.41,44.24,73,0,13.24
294,Lewistown,US,32.77,40.39,-90.15,87,1,16.11
295,Linxia,CN,23.97,35.6,103.21,92,92,2.39
296,Ostrovnoy,RU,15.24,68.05,39.51,81,56,24.87
297,Mareeba,AU,73.58,-16.99,145.42,88,44,9.17
298,Maple Creek,CA,10.6,49.91,-109.46,89,32,10.78
299,Bull Savanna,JM,84.13,17.89,-77.59,48,32,2.51
300,Kamaishi,JP,38.19,39.28,141.86,94,92,4.97
301,Ocos,GT,90.3,14.51,-92.19,52,20,9.17
302,Hirara,JP,67.3,24.8,125.28,100,100,20.18
303,Inta,RU,12.9,66.04,60.13,86,88,0.72
304,Te Anau,NZ,63.34,-45.41,167.72,59,76,18.84
305,Pincher Creek,CA,6.8,49.49,-113.95,65,90,3.4
306,Acapulco,MX,84.2,16.86,-99.88,74,5,13.87
307,Jijiga,ET,52.18,9.35,42.8,94,0,2.17
308,Luwuk,ID,76.89,-0.95,122.79,100,68,1.72
309,Klaksvik,FO,33.8,62.23,-6.59,69,48,2.24
310,Banepa,NP,46.4,27.63,85.52,93,20,4.7
311,Mecca,SA,54.7,21.43,39.83,70,0,5.19
312,Wamba,CD,66.99,2.14,27.99,95,80,3.96
313,Dhidhdhoo,MV,82.33,6.88,73.1,100,68,9.66
314,Matagami,NG,70.45,9.67,8.4,74,8,2.73
315,Conakry,GN,79.18,9.52,-13.7,100,0,8.77
316,Burlington,CA,16.3,43.32,-79.8,47,40,16.11
317,Sikasso,ML,73.24,11.32,-5.68,48,0,5.08
318,Toora-Khem,RU,20.55,52.47,96.11,84,80,5.75
319,Santa Cruz Verapaz,GT,75.54,15.37,-90.43,70,8,2.39
320,Altamira,BR,82.4,-3.2,-52.21,78,75,5.82
321,Olinda,EC,87.31,-2.03,-79.75,62,75,4.7
322,Baglung,NP,42.6,28.27,83.59,72,64,2.62
323,Padang,ID,80.6,-0.92,100.36,88,40,2.24
324,Comodoro Rivadavia,AR,77,-45.87,-67.48,27,40,25.28
325,Minas Novas,BR,81.75,-17.22,-42.59,56,24,12.35
326,Hambantota,LK,80.4,6.12,81.12,100,12,7.31
327,Calatayud,ES,53.8,41.35,-1.64,47,0,14.99
328,Reykjavik,IS,29.88,64.15,-21.94,79,20,17.22
329,Paso de Patria,AR,85.17,-27.25,-58.55,74,75,10.29
330,Olga,US,56.52,34.11,-118.17,87,90,6.93
331,Montepuez,MZ,70.18,-13.13,39,96,92,7.09
332,Ponta do Sol,BR,76.39,-20.63,-46,77,64,2.39
333,Alekseyevsk,RU,21.04,57.84,108.35,83,88,1.83
334,Arenapolis,BR,86.47,-14.45,-56.85,64,56,5.41
335,Zhuhai,CN,15.8,40.71,112.04,43,0,6.71
336,Rio Gallegos,AR,50,-51.62,-69.22,53,40,19.46
337,Kahului,US,70.47,20.89,-156.47,83,75,14.99
338,Balkhash,KZ,11.55,46.84,74.98,74,0,9.44
339,Norman Wells,CA,3.2,65.28,-126.83,71,20,2.24
340,Kimbe,PG,79.36,-5.56,150.15,100,32,4.41
341,Monte Alegre de Minas,BR,86,-18.87,-48.88,42,20,5.82
342,Okato,NZ,62.91,-39.19,173.88,85,8,4
343,Atherton,GB,46.85,53.52,-2.49,76,75,6.93
344,High Level,CA,8.6,58.52,-117.13,78,20,8.05
345,Musoma,TZ,69.8,-1.5,33.81,88,75,13.87
346,Beringovskiy,RU,25.81,63.05,179.32,95,64,9.44
347,Baherden,TM,41.83,38.44,57.43,88,0,2.95
348,Tigzirt,DZ,67.75,36.57,4.2,29,20,4.18
349,Galveston,US,23.72,40.58,-86.19,62,40,16.11
350,Vila Velha,BR,77.86,-3.71,-38.6,83,75,5.82
351,Taltal,CL,72.16,-25.41,-70.49,63,0,4.18
352,Trairi,BR,79.5,-3.28,-39.27,100,76,7.87
353,Murfreesboro,US,37.09,35.85,-86.39,37,1,5.82
354,Viedma,AR,83.82,-40.81,-62.99,19,32,25.66
355,Jackville,CI,84.2,5.21,-4.42,89,20,8.05
356,Fenyi,CN,46.69,27.82,114.69,96,88,7.09
357,Broome,GB,50.97,52.47,1.45,87,75,16.11
358,Kurya,RU,5.92,51.6,82.29,64,0,6.2
359,Araouane,ML,61.09,18.9,-3.53,21,0,2.84
360,Hasaki,JP,49.53,35.73,140.83,100,75,8.05
361,Krasnyy Chikoy,RU,11.14,50.36,108.75,62,24,2.17
362,Ulaangom,MN,9.84,49.98,92.07,87,0,4.41
363,Caravelas,BR,85.03,-17.73,-39.27,99,0,11.45
364,Huadian,CN,11.68,42.97,126.75,72,0,3.4
365,Belmonte,PT,44.01,40.36,-7.35,89,20,5.01
366,Vega de Alatorre,MX,62.53,20.03,-96.65,94,80,7.43
367,Lisala,CD,74.1,2.15,21.52,89,44,2.39
368,Inhambane,MZ,78.3,-23.87,35.38,78,40,6.93
369,Arkadelphia,US,47.28,34.12,-93.05,18,1,4.7
370,Shumyachi,RU,6.1,53.86,32.43,64,0,2.95
371,Pisco,PE,71.6,-13.71,-76.2,30,0,10.29
372,Port-Cartier,CA,13.06,50.03,-66.88,39,75,10.29
373,Bandarbeyla,SO,77.97,9.49,50.81,100,12,6.42
374,Wolnzach,DE,45.36,48.61,11.62,75,48,4.7
375,Basco,US,33.44,40.33,-91.2,34,1,16.11
376,Bazarnyy Syzgan,RU,17.8,53.75,46.75,79,8,14.36
377,Jinka,ET,64.06,5.79,36.57,72,20,1.61
378,Hammond,US,54.48,30.5,-90.46,25,1,5.82
379,Sittingbourne,GB,50.85,51.34,0.73,81,75,21.92
380,Liverpool,GB,46.38,53.41,-2.98,87,75,18.34
381,Ahuimanu,US,67.96,21.44,-157.84,88,75,10.29
382,Nouadhibou,MR,68,20.93,-17.03,68,0,21.92
383,Cururupu,BR,77.52,-1.82,-44.87,95,68,3.4
384,Vostok,RU,0.12,46.45,135.83,60,0,1.95
385,Kangaatsiaq,GL,15.15,68.31,-53.46,100,0,14.7
386,Chapais,CA,3.2,49.78,-74.86,49,90,10.29
387,Bukama,CD,71.71,-9.2,25.85,90,36,2.62
388,Muswellbrook,AU,69.01,-32.27,150.89,71,8,1.01
389,Librazhd,AL,48.2,41.18,20.32,87,0,4.7
390,Coihaique,CL,56.66,-45.58,-72.07,76,75,8.66
391,Bima,ID,72.07,-8.45,118.73,100,100,3.18
392,Shingu,JP,54.97,33.72,135.99,100,44,12.12
393,Moroni,US,36.88,39.52,-111.59,93,88,10
394,Nome,US,56.84,30.04,-94.42,26,1,9.17
395,Newport,GB,45.82,51.59,-3,87,75,16.11
396,Gilbues,BR,77.97,-9.83,-45.34,88,32,4.18
397,Erenhot,CN,7.45,43.65,111.97,61,0,2.95
398,Fernley,US,45.37,39.61,-119.25,65,75,13.87
399,Severo-Kurilsk,RU,22.12,50.68,156.12,100,56,11.79
400,Gizo,IL,53.2,31.8,34.94,81,0,3.36
401,Boende,CD,75.54,-0.28,20.88,93,12,2.84
402,Kovdor,RU,9.43,67.56,30.47,79,76,2.73
403,Pala,IN,78.8,9.71,76.68,83,8,2.06
404,West Bend,US,22.69,43.43,-88.18,57,75,10.29
405,Sulangan,PH,78.69,11.14,123.72,100,0,15.82
406,Utete,TZ,80.4,-7.99,38.76,84,36,3.85
407,Manggar,ID,76.75,-2.88,108.27,100,80,2.95
408,Lapeer,US,19.94,43.05,-83.32,48,90,11.41
409,Muisne,EC,78.8,0.61,-80.02,94,90,10.29
410,Vila Franca do Campo,PT,56.93,37.72,-25.43,93,75,23.04
411,Baker City,US,40.42,44.77,-117.83,75,90,3.36
412,Keetmanshoop,NA,87.8,-26.57,18.15,22,92,8.05
413,Green Valley,US,32.32,40.41,-89.64,86,1,8.05
414,Mega,ET,63.75,4.06,38.32,51,0,5.86
415,Umea,SE,15.8,63.83,20.26,56,0,6.93
416,Arlit,NE,66.99,18.74,7.39,33,0,4.74
417,Tonantins,BR,94.35,-2.86,-67.77,49,8,6.53
418,Najran,SA,69.8,17.54,44.22,59,5,4.7
419,Hastings,NZ,66.58,-39.64,176.84,92,0,10.56
420,Pedernales,EC,79.36,0.07,-80.05,82,92,9.66
421,Xichang,CN,39.09,27.88,102.25,100,88,1.61
422,Freeport,BS,71.6,26.54,-78.7,56,75,16.11
423,Hay River,CA,19.4,60.82,-115.79,57,20,12.75
424,Namatanai,PG,82.47,-3.66,152.44,100,24,2.39
425,Tacuarembo,UY,81.34,-31.73,-55.98,79,24,3.62
426,Nikolayevskaya,RU,48.2,43.22,44.21,88,90,6.71
427,Muret,FR,52.86,43.46,1.33,81,0,27.51
428,Kavieng,PG,82.69,-2.57,150.8,100,56,4.74
429,North Bend,US,40.24,43.41,-124.22,93,90,9.17
430,Itacare,BR,86,-14.28,-39,74,20,8.05
431,Sisimiut,GL,5.65,66.94,-53.67,78,36,2.62
432,Lalmohan,BD,72.25,22.34,90.74,96,80,4.63
433,Havoysund,NO,19.4,71,24.66,85,90,26.4
